Date : 2022-02-07 15:12:47
Directory : c:\xampp\htdocs\SurgeryAndWound
Total : 1102 files,  142768 codes, 61837 comments, 25596 blanks, all 230201 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Engineering\ConvertUOM.php                             | PHP        |        531 |        105 |         49 |        685 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Engineering\Erf.php                                    | PHP        |         47 |         34 |         11 |         92 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Engineering\ErfC.php                                   | PHP        |         40 |         20 |          9 |         69 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Exception.php                                          | PHP        |         13 |          9 |          5 |         27 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\ExceptionHandler.php                                   | PHP        |         13 |          6 |          4 |         23 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Financial.php                                          | PHP        |      1,267 |        981 |        245 |      2,493 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\FormulaParser.php                                      | PHP        |        430 |        102 |        100 |        632 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\FormulaToken.php                                       | PHP        |         60 |         77 |         14 |        151 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Functions.php                                          | PHP        |        340 |        259 |         85 |        684 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Internal\MakeMatrix.php                                | PHP        |          9 |          0 |          3 |         12 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Internal\WildcardMatch.php                             | PHP        |         31 |          1 |          8 |         40 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Logical.php                                            | PHP        |         50 |        251 |         14 |        315 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Logical\Boolean.php                                    | PHP        |         13 |         20 |          4 |         37 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Logical\Conditional.php                                | PHP        |         70 |         93 |         19 |        182 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Logical\Operations.php                                 | PHP        |         89 |         85 |         25 |        199 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\LookupRef.php                                          | PHP        |        602 |        257 |        110 |        969 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\MathTrig.php                                           | PHP        |        988 |        870 |        246 |      2,104 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\MathTrig\Ceiling.php                                   | PHP        |         38 |         21 |         10 |         69 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\MathTrig\CeilingMath.php                               | PHP        |         30 |         17 |          9 |         56 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\MathTrig\CeilingPrecise.php                            | PHP        |         20 |         13 |          7 |         40 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\MathTrig\Floor.php                                     | PHP        |         44 |         18 |         10 |         72 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\MathTrig\FloorMath.php                                 | PHP        |         37 |         22 |         10 |         69 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\MathTrig\FloorPrecise.php                              | PHP        |         26 |         18 |          8 |         52 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\MathTrig\IntClass.php                                  | PHP        |         15 |         12 |          5 |         32 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\MathTrig\Mround.php                                    | PHP        |         24 |         10 |          9 |         43 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\MathTrig\Roman.php                                     | PHP        |        827 |         15 |         12 |        854 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\MathTrig\Round.php                                     | PHP        |         15 |         10 |          6 |         31 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\MathTrig\RoundDown.php                                 | PHP        |         22 |         10 |          8 |         40 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\MathTrig\RoundUp.php                                   | PHP        |         22 |         10 |          8 |         40 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\MathTrig\Trunc.php                                     | PHP        |         21 |         12 |          8 |         41 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Statistical.php                                        | PHP        |      1,731 |      1,289 |        331 |      3,351 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Statistical\AggregateBase.php                          | PHP        |         28 |         16 |          7 |         51 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Statistical\Averages.php                               | PHP        |         73 |         48 |         17 |        138 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Statistical\Conditional.php                            | PHP        |        159 |        102 |         44 |        305 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Statistical\Counts.php                                 | PHP        |         40 |         44 |         12 |         96 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Statistical\MaxMinBase.php                             | PHP        |         14 |          0 |          4 |         18 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Statistical\Maximum.php                                | PHP        |         39 |         29 |         11 |         79 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Statistical\Minimum.php                                | PHP        |         39 |         29 |         11 |         79 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Statistical\Permutations.php                           | PHP        |         34 |         25 |         11 |         70 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Statistical\StandardDeviations.php                     | PHP        |        102 |         53 |         27 |        182 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Statistical\VarianceBase.php                           | PHP        |         21 |          0 |          6 |         27 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Statistical\Variances.php                              | PHP        |        100 |         57 |         27 |        184 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\TextData.php                                           | PHP        |        378 |        217 |        103 |        698 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Token\Stack.php                                        | PHP        |         87 |         42 |         21 |        150 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Web.php                                                | PHP        |         33 |         11 |         10 |         54 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Cell\AddressHelper.php                                             | PHP        |         95 |         23 |         17 |        135 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Cell\AdvancedValueBinder.php                                       | PHP        |        132 |         39 |         35 |        206 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Cell\Cell.php                                                      | PHP        |        323 |        270 |         88 |        681 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Cell\Coordinate.php                                                | PHP        |        296 |        175 |         79 |        550 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Cell\DataType.php                                                  | PHP        |         45 |         28 |         13 |         86 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Cell\DataValidation.php                                            | PHP        |        187 |        235 |         60 |        482 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Cell\DataValidator.php                                             | PHP        |         45 |         20 |         13 |         78 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Cell\DefaultValueBinder.php                                        | PHP        |         54 |         20 |          9 |         83 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Cell\Hyperlink.php                                                 | PHP        |         46 |         54 |         14 |        114 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Cell\IValueBinder.php                                              | PHP        |          6 |          8 |          3 |         17 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Cell\StringValueBinder.php                                         | PHP        |         14 |         10 |          6 |         30 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Chart\Axis.php                                                     | PHP        |        257 |        254 |         46 |        557 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Chart\Chart.php                                                    | PHP        |        285 |        287 |         92 |        664 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Chart\DataSeries.php                                               | PHP        |        183 |        164 |         48 |        395 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Chart\DataSeriesValues.php                                         | PHP        |        185 |        167 |         46 |        398 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Chart\Exception.php                                                | PHP        |          6 |          0 |          4 |         10 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Chart\GridLines.php                                                | PHP        |        243 |        174 |         38 |        455 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Chart\Layout.php                                                   | PHP        |        169 |        254 |         59 |        482 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Chart\Legend.php                                                   | PHP        |         73 |         63 |         22 |        158 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Chart\PlotArea.php                                                 | PHP        |         48 |         49 |         15 |        112 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Chart\Properties.php                                               | PHP        |        330 |         19 |         21 |        370 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Chart\Renderer\IRenderer.php                                       | PHP        |          8 |         10 |          5 |         23 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Chart\Renderer\JpGraph.php                                         | PHP        |        686 |         42 |        143 |        871 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Chart\Title.php                                                    | PHP        |         25 |         32 |          9 |         66 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Collection\Cells.php                                               | PHP        |        251 |        177 |         71 |        499 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Collection\CellsFactory.php                                        | PHP        |         11 |          7 |          4 |         22 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Collection\Memory.php                                              | PHP        |         55 |          6 |         19 |         80 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Comment.php                                                        | PHP        |        128 |        161 |         41 |        330 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\DefinedName.php                                                    | PHP        |        140 |         85 |         39 |        264 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\DocumentGenerator.php                                              | PHP        |         80 |          6 |         12 |         98 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Document\Properties.php                                            | PHP        |        315 |        240 |         78 |        633 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Document\Security.php                                              | PHP        |         82 |         98 |         26 |        206 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Exception.php                                                      | PHP        |          5 |          0 |          3 |          8 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\HashTable.php                                                      | PHP        |         87 |         69 |         20 |        176 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Helper\Html.php                                                    | PHP        |        765 |         20 |         55 |        840 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Helper\Sample.php                                                  | PHP        |        122 |         81 |         27 |        230 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\IComparable.php                                                    | PHP        |          6 |          5 |          3 |         14 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\IOFactory.php                                                      | PHP        |        122 |         70 |         26 |        218 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\NamedFormula.php                                                   | PHP        |         29 |         10 |          7 |         46 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\NamedRange.php                                                     | PHP        |         38 |          9 |          9 |         56 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\BaseReader.php                                              | PHP        |         90 |         40 |         32 |        162 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Csv.php                                                     | PHP        |        344 |        176 |         88 |        608 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\DefaultReadFilter.php                                       | PHP        |          9 |          9 |          3 |         21 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Exception.php                                               | PHP        |          6 |          0 |          4 |         10 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Gnumeric.php                                                | PHP        |        638 |         84 |        110 |        832 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Gnumeric\PageSetup.php                                      | PHP        |        106 |         11 |         27 |        144 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Html.php                                                    | PHP        |        732 |        152 |        143 |      1,027 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\IReadFilter.php                                             | PHP        |          6 |          9 |          3 |         18 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\IReader.php                                                 | PHP        |         19 |         99 |         16 |        134 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Ods.php                                                     | PHP        |        536 |        131 |        129 |        796 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Ods\PageSettings.php                                        | PHP        |        115 |          1 |         24 |        140 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Ods\Properties.php                                          | PHP        |        109 |          1 |         23 |        133 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Security\XmlScanner.php                                     | PHP        |        101 |         21 |         29 |        151 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Slk.php                                                     | PHP        |        380 |        133 |         79 |        592 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xls.php                                                     | PHP        |      4,741 |      1,809 |      1,429 |      7,979 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xls\Color.php                                               | PHP        |         18 |         13 |          6 |         37 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xls\Color\BIFF5.php                                         | PHP        |         70 |          7 |          5 |         82 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xls\Color\BIFF8.php                                         | PHP        |         70 |          7 |          5 |         82 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xls\Color\BuiltIn.php                                       | PHP        |         24 |          7 |          5 |         36 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xls\ErrorCode.php                                           | PHP        |         21 |          7 |          5 |         33 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xls\Escher.php                                              | PHP        |        336 |        189 |        153 |        678 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xls\MD5.php                                                 | PHP        |        139 |         21 |         25 |        185 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xls\RC4.php                                                 | PHP        |         37 |         13 |         12 |         62 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xls\Style\Border.php                                        | PHP        |         29 |          8 |          6 |         43 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xls\Style\FillPattern.php                                   | PHP        |         34 |          8 |          6 |         48 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xlsx.php                                                    | PHP        |      1,622 |        216 |        253 |      2,091 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xlsx\AutoFilter.php                                         | PHP        |        116 |         16 |         15 |        147 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xlsx\BaseParserClass.php                                    | PHP        |         15 |          0 |          5 |         20 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xlsx\Chart.php                                              | PHP        |        499 |         14 |         94 |        607 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xlsx\ColumnAndRowAttributes.php                             | PHP        |        164 |         19 |         27 |        210 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xlsx\ConditionalStyles.php                                  | PHP        |        127 |          6 |         24 |        157 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xlsx\DataValidations.php                                    | PHP        |         41 |          3 |          8 |         52 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xlsx\Hyperlinks.php                                         | PHP        |         49 |          2 |         11 |         62 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xlsx\PageSetup.php                                          | PHP        |        145 |          0 |         20 |        165 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xlsx\Properties.php                                         | PHP        |         76 |          1 |         16 |         93 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xlsx\SheetViewOptions.php                                   | PHP        |        114 |          3 |         19 |        136 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xlsx\SheetViews.php                                         | PHP        |        111 |          4 |         24 |        139 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xlsx\Styles.php                                             | PHP        |        233 |         12 |         38 |        283 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xlsx\Theme.php                                              | PHP        |         40 |         43 |         11 |         94 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xml.php                                                     | PHP        |        672 |        103 |        134 |        909 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xml\PageSettings.php                                        | PHP        |        108 |          3 |         20 |        131 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\ReferenceHelper.php                                                | PHP        |        655 |        273 |        111 |      1,039 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\RichText\ITextElement.php                                          | PHP        |          9 |         22 |          6 |         37 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\RichText\RichText.php                                              | PHP        |         81 |         67 |         23 |        171 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\RichText\Run.php                                                   | PHP        |         29 |         28 |          9 |         66 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\RichText\TextElement.php                                           | PHP        |         41 |         36 |         10 |         87 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Settings.php                                                       | PHP        |         93 |         98 |         28 |        219 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\CodePage.php                                                | PHP        |         81 |         10 |          9 |        100 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\Date.php                                                    | PHP        |        277 |        165 |         51 |        493 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\Drawing.php                                                 | PHP        |        107 |        106 |         39 |        252 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\Escher.php                                                  | PHP        |         23 |         34 |          8 |         65 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\Escher\DgContainer.php                                      | PHP        |         32 |         10 |         11 |         53 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\Escher\DgContainer\SpgrContainer.php                        | PHP        |         36 |         33 |         11 |         80 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\Escher\DgContainer\SpgrContainer\SpContainer.php            | PHP        |        131 |        195 |         44 |        370 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\Escher\DggContainer.php                                     | PHP        |         62 |         93 |         21 |        176 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\Escher\DggContainer\BstoreContainer.php                     | PHP        |         15 |         15 |          5 |         35 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\Escher\DggContainer\BstoreContainer\BSE.php                 | PHP        |         39 |         40 |         11 |         90 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\Escher\DggContainer\BstoreContainer\BSE\Blip.php            | PHP        |         23 |         30 |          8 |         61 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\File.php                                                    | PHP        |         74 |         49 |         20 |        143 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\Font.php                                                    | PHP        |        466 |        186 |        113 |        765 |
| c:\xampp\htdocs\SurgeryAndWound\vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\JAMA\CholeskyDecomposition.php                              | PHP        |         75 |         56 |         17 |        148 |
